comment,product_id,rating,reviewer,sku,submissionTime,title
so happy .. i went ahead and got the matching dryer,34385754,5,alan,3600388,8/4/14 22:42,awesome washer with steam
Music to treasure and pass it on to generetions Excellent artist  Music cool,34385743,5,Charliesmty,9243918,8/4/14 22:39,Great DVD
I am impressed about how these games look on screen.,34385696,3,Bestbuy0000,9009136,8/4/14 22:33,Great Graphically
"Great product, great sound! Easy setup and great quality.",34385677,5,Purplecat,5577119,8/4/14 22:31,Outstanding sound and functionality
Its really comfortable and you don't even feel you have it on.,34385676,5,reptar175,2904379,8/4/14 22:31,really comferable
1 have 2 and a friend has 1. All quit working right,34385664,2,meandmyknight,4071495,8/4/14 22:29,plan on getting new ones every couple of years
"Great sound, and really comfortable. I like them but just not the price.",34385658,5,reptar175,5566038,8/4/14 22:28,great sound!!
"I got it for a great price on sale, and it works great with my MacBook Pro and connects to my tv with ease",34385593,5,,1741001,8/4/14 22:18,Perfect hdmi for macbook pro
Works well in laptop but coverage range is very small. Was easy to install.,34385589,4,hbmb,2089176,8/4/14 22:18,Works well but range is limited
IF U LIKE ACTION AND THRILLER MOVIES THEN THIS IS FOR YOU. GREAT CAST AND A GREAT STORYLINE MUST HAVE.,34385547,5,DEMONICDANK,8668827,8/4/14 22:12,GREAT MOVIE MUST HAVE FOR ONES COLLECTION
this is a white cable and looks just likt the Apple cable.,34385527,5,Mike1111111111111111,6652043,8/4/14 22:11,great cable
"I've probably had half dozen routers in the last 15 years and none have ever covered every corner of our 4000 ft house until now. Great signal upstairs, downstairs, even in the garage or by the pool. Great purchase.",34385472,5,rgillie66,6639317,8/4/14 22:02,Great for larger home
Sandisk has always had reliable products and this is no exception. Good sized memory in a class 10 at an affordable price. Can't beat it.,34385426,4,rgillie66,1300086,8/4/14 21:56,Good and inexpensive for a class 10
I am thrilled with the size of the screen an it is easy to carry it around.,34385396,4,lolo,5862002,8/4/14 21:52,Great LAPTOP
Bought this because the switch was better than the higher priced model. The switch is easier to use and grab. The sound quality is a little less bass. I hope the durability is at least as good as the more expensive model.,34385394,4,bballj,8427179,8/4/14 21:52,Better switch than more expensive model
Grat water filter that provides purer water. Makes refrigerator water easier to use.,34385345,5,Kammish,2868753,8/4/14 21:46,Excellent water filter.
Great cable at a reasonable price. 6 ft was the right length for the distance between my tv and cablebox.,34385318,5,Earbuduser,9912917,8/4/14 21:44,Good cable for connecting TV with cablebox
"great find, provided for lots of laughs and can't beat the price...",34385268,5,MrVictor,1501056,8/4/14 21:38,"Great find, great price..."
This memory card was on sale so I decided to try it and am very pleased with it.,34385260,5,IGoProeverything,1300086,8/4/14 21:37,HERO 3 BLACK EDITION compatible
"love the great prices on these, makes come back for more.",34385235,5,MrVictor,1380642,8/4/14 21:35,great entertainment
"A great film for lovers of beer, or just plain hilarious movies!",34385205,4,USCGuy,4799221,8/4/14 21:33,Great 80s comedy
This game has alot of different backgrounds and characters. It has a great story line and is fun to play.,34385200,5,Bugy,2013005,8/4/14 21:32,Great Game
Very user friendly and readily capable of completing anticipated tasks.,34385191,5,Stogie,3142571,8/4/14 21:31,Very user friendly and able to be used with severa
"Fast and easy setup. Amazing display and awesome for gaming! When not gaming, I watch most of my movies on this monitor.",34385101,5,louie213,8767178,8/4/14 21:23,Amazing display
This game is awesome the graphics are amazing versus the PlayStation 3 version.I have it on both PlayStation 3 and PlayStation 4 and I love the PlayStation 4 version better I have finally retire my playstation 3 because of it.,34385093,5,brice24,5875178,8/4/14 21:21,freaking beautiful
I am very please with my purchase. this is my first tablet and it is easy to use,34384971,5,countrygirl,2078005,8/4/14 21:07,great product.
"This is my absolute favorite K-Cup. This brew is dark, bold, rich, and full of flavor.",34384921,5,MichaelinNEPA,4099036,8/4/14 21:06,Dark and Bold
Large enough and very easy to use. Building quality above average.,34384924,4,JMPG,8285232,8/4/14 21:06,"Good, Good"
"This is just what I need, easy, and it works great for my home work outs,",34384892,5,Clinton,6609307,8/4/14 21:03,"Wonderful product,"
"Toshiba is always a dependable brand, and this 40"" SMART TV is no different. I now have 2 Toshiba's in the house and plan to be a loyal customer.",34384891,5,Patty,4824003,8/4/14 21:02,Great smart TV
"I bought this as a gift, she loves the hands free in her car, very easy to use.",34384859,5,Clinton,2869053,8/4/14 20:59,I bought as a gift
"Great show in the vein of the old(er) specials from the Discovery Channel, TLC, Nat Geo, etc before they became bogged down with uneducational reality shows. Proof-positive that education can be entertaining &amp; entertainment can be educational.",34384792,5,71HemiCuda,5945202,8/4/14 20:53,Great show
For signal from room to room is perfect. No problems at all.,34384681,5,Pete,2940973,8/4/14 20:40,Works great does what it is designed for
"I bought this for a guest room. Picture not as good as my Samsung TV, but OK for minimal watching. You get what you pay for.",34384648,3,Debgonzo,3356036,8/4/14 20:37,Good price
I bought this as a gift. My friend loved it. So excited to receive it.,34384606,5,Debgonzo,4790684,8/4/14 20:35,Great DVD player for price
I've never had a wireless mouse before and didn't know what I was missing. The grip on the side feels like soft leather and the mouse glides across my desk with ease. I love it and may purchase another one for my other computer.,34384594,5,ModernMom,3937943,8/4/14 20:34,Great mouse for any user
This is one of the best TVs in its class. The picture quality is sharp and the blacks are deep in color. I highly recommend this tv if you're looking for a high end 3D tv for a low end price,34384593,5,Nick,4324008,8/4/14 20:34,Great tv for the value.
Love this cd. Great hard rock cd to stay awake or get pumped on car rides.,34384560,4,paigek7,9860253,8/4/14 20:32,"great cd, love it for in the car"
got this for grandson..he loves his disney characters to play the games,34384553,5,RobertV,1786164,8/4/14 20:31,needed to add more disney characters
"Perfect fit for my hand while I play an MMORPG. I have a big hand and i need something sturdy. My previous game mouse was also a Logitech. The price is a tad high, but I needed it.",34384368,4,Garretto13,4642008,8/4/14 20:18,Perfect fit for my hand while I play an MMORPG
This is a great product and very well priced. It has an economy setting that you can set it on to save money and still keep your room cool. It comes with a remote and isn't very loud. I would definitely recommend this product.,34384355,5,che1877,3407015,8/4/14 20:17,This is a great product and not expensive.
"With 5 iPhones and 2 iPads, we have several similar cables. This is the best of the bunch. It's durable and well made. Highly recommended.",34384326,5,Cram26,4162001,8/4/14 20:15,Better than Apple's own cord
My son loves his protective tablet cover. Very durable and protective.,34384310,4,maree,9597107,8/4/14 20:14,Protective case
"O love it and my kids see it all the time, funny and great family movie,",34384248,4,Bettina,3060099,8/4/14 20:11,Love it!
funny movie which has its moments but it too hard to live up to the original,34384245,3,pip2,3921123,8/4/14 20:11,first one is better
A wonderful replacement for what i had when i first purchased my mobile device,34384232,5,juicy,5689149,8/4/14 20:10,chargers
It's great for iWork to transfer and upload new date.,34384231,5,Bettina,9737178,8/4/14 20:10,Great
great case protects very well and still allows you to use the touch feature,34384228,4,pip2,2251037,8/4/14 20:10,"great case, protects very well"
This is a great surround sound system. It's worth more than you pay for.,34384227,5,Modizzlesis300,9480411,8/4/14 20:09,Great sound quality and very loud
HP ink lends to reliable and vivid colors. Perfect for photographs and small color printing needs.,34384205,5,MizzMickie57,7908678,8/4/14 20:09,HP Color is always excellent.
Reliable ink. Never had a problem with this produsct. Appreciate the discount.,34384198,5,Jfl365,9248913,8/4/14 20:08,Reliable ink.
